   1.0000000e+00	   0.0000000e+00	
   1.0000000e+00	   7.7994888e-32	
   1.0000000e+00	   6.6955538e-32	
   1.0000000e+00	   6.6186730e-31	
   1.0000000e+00	   1.0202990e-30	
   1.0000000e+00	   7.8996493e-31	
   1.0000000e+00	   7.1564457e-31	
   1.0000000e+00	   3.9799661e-31	
   1.0000000e+00	   1.9807734e-31	
   1.0000000e+00	   1.3592688e-31	
   1.0000000e+00	  -1.8670616e-31	
   1.0000000e+00	  -1.1325649e-31	
   1.0000000e+00	  -2.1408493e-31	
   1.0000000e+00	   1.4303541e-31	
   1.0000000e+00	   6.0992219e-31	
   1.0000000e+00	   6.3204905e-31	
   1.0000000e+00	   1.4687641e-31	
   1.0000000e+00	   8.4779010e-32	
   1.0000000e+00	  -4.5750798e-31	
   1.0000000e+00	  -1.5040616e-30	
   1.0000000e+00	  -2.1007381e-30	
   1.0000000e+00	  -1.7559130e-30	
   1.0000000e+00	  -1.9673400e-30	
   1.0000000e+00	  -2.7170156e-31	
   1.0000000e+00	   6.2301564e-21	
   1.0000000e+00	   4.7469877e-14	
   1.0000000e+00	   7.1652829e-10	
   9.9999835e-01	   4.5965289e-07	
   9.9992692e-01	   2.0309073e-05	
   9.9957184e-01	   1.1898705e-04	
   9.9902763e-01	   2.7022326e-04	
   9.9842157e-01	   4.3865048e-04	
   9.9777956e-01	   6.1706532e-04	
   9.9710774e-01	   8.0376706e-04	
   9.9640539e-01	   9.9895108e-04	
   9.9567173e-01	   1.2028357e-03	
   9.9490629e-01	   1.4155542e-03	
   9.9410845e-01	   1.6372751e-03	
   9.9327734e-01	   1.8682426e-03	
   9.9241184e-01	   2.1087687e-03	
   9.9151062e-01	   2.3592180e-03	
   9.9057220e-01	   2.6200082e-03	
   9.8959480e-01	   2.8916296e-03	
   9.8857637e-01	   3.1746539e-03	
   9.8751457e-01	   3.4697312e-03	
   9.8640677e-01	   3.7775909e-03	
   9.8525004e-01	   4.0990487e-03	
   9.8404110e-01	   4.4350168e-03	
   9.8277627e-01	   4.7865155e-03	
   9.8145145e-01	   5.1546877e-03	
   9.8006201e-01	   5.5408164e-03	
   9.7860276e-01	   5.9463456e-03	
   9.7706783e-01	   6.3729051e-03	
   9.7545059e-01	   6.8223411e-03	
   9.7374347e-01	   7.2967528e-03	
   9.7193786e-01	   7.7985376e-03	
   9.7002384e-01	   8.3304459e-03	
   9.6799001e-01	   8.8956522e-03	
   9.6582311e-01	   9.4978413e-03	
